timestamp,power_draw_W
2025-10-13T14:56:26.862554+00:00,5.20
2025-10-13T14:56:27.941113+00:00,5.14
2025-10-13T14:56:29.004982+00:00,12.43
2025-10-13T14:56:30.053121+00:00,12.63
2025-10-13T14:56:31.106246+00:00,12.45
2025-10-13T14:56:32.169898+00:00,12.48
2025-10-13T14:56:33.259724+00:00,12.96
2025-10-13T14:56:34.318354+00:00,12.42
2025-10-13T14:56:35.369009+00:00,2.83
2025-10-13T14:56:36.422563+00:00,2.68
2025-10-13T14:56:37.468021+00:00,2.61
2025-10-13T14:56:38.520588+00:00,3.07
2025-10-13T14:56:39.592901+00:00,3.42
2025-10-13T14:56:40.646487+00:00,3.00
2025-10-13T14:56:41.706322+00:00,2.77
2025-10-13T14:56:42.755253+00:00,2.75
2025-10-13T14:56:43.804710+00:00,2.80
2025-10-13T14:56:44.865664+00:00,3.09
2025-10-13T14:56:45.920950+00:00,2.86
2025-10-13T14:56:46.985426+00:00,2.62
2025-10-13T14:56:48.053949+00:00,2.64
2025-10-13T14:56:49.105473+00:00,2.77
2025-10-13T14:56:50.155585+00:00,2.62
2025-10-13T14:56:51.218247+00:00,2.82
2025-10-13T14:56:52.273124+00:00,2.84
2025-10-13T14:56:53.320726+00:00,2.74
2025-10-13T14:56:54.371511+00:00,2.66
2025-10-13T14:56:55.422214+00:00,2.70
2025-10-13T14:56:56.486607+00:00,2.68
2025-10-13T14:56:57.553120+00:00,2.60
2025-10-13T14:56:58.603765+00:00,2.63
2025-10-13T14:56:59.671239+00:00,2.68
2025-10-13T14:57:00.733105+00:00,2.63
2025-10-13T14:57:01.800486+00:00,2.66
2025-10-13T14:57:02.868905+00:00,2.69
2025-10-13T14:57:03.924210+00:00,3.37
2025-10-13T14:57:04.974997+00:00,3.17
2025-10-13T14:57:06.030502+00:00,2.97
2025-10-13T14:57:07.086308+00:00,2.67
2025-10-13T14:57:08.142494+00:00,2.72
2025-10-13T14:57:09.209232+00:00,2.75
2025-10-13T14:57:10.270216+00:00,2.88
2025-10-13T14:57:11.334103+00:00,2.78
2025-10-13T14:57:12.387806+00:00,2.75
2025-10-13T14:57:13.464085+00:00,2.64
2025-10-13T14:57:14.518710+00:00,3.23
2025-10-13T14:57:15.582112+00:00,2.92
2025-10-13T14:57:16.652013+00:00,2.64
2025-10-13T14:57:17.701813+00:00,2.90
2025-10-13T14:57:18.769620+00:00,2.64
2025-10-13T14:57:19.835759+00:00,2.78
2025-10-13T14:57:20.896318+00:00,2.80
2025-10-13T14:57:21.942465+00:00,2.90
2025-10-13T14:57:23.016160+00:00,2.65
2025-10-13T14:57:24.101631+00:00,2.63
2025-10-13T14:57:25.167769+00:00,2.67
2025-10-13T14:57:26.217316+00:00,2.83
2025-10-13T14:57:27.269000+00:00,2.71
2025-10-13T14:57:28.322442+00:00,2.69
2025-10-13T14:57:29.385749+00:00,3.03
2025-10-13T14:57:30.453940+00:00,3.19
2025-10-13T14:57:31.499221+00:00,2.96
2025-10-13T14:57:32.550888+00:00,2.98
2025-10-13T14:57:33.595228+00:00,2.80
2025-10-13T14:57:34.661953+00:00,2.92
2025-10-13T14:57:35.711707+00:00,2.93
2025-10-13T14:57:36.765108+00:00,2.63
2025-10-13T14:57:37.813752+00:00,2.84
2025-10-13T14:57:38.876899+00:00,2.78
2025-10-13T14:57:39.933024+00:00,3.00
2025-10-13T14:57:40.980515+00:00,2.92
2025-10-13T14:57:42.045656+00:00,2.68
2025-10-13T14:57:43.116473+00:00,2.62
2025-10-13T14:57:44.169356+00:00,2.88
2025-10-13T14:57:45.224287+00:00,2.64
2025-10-13T14:57:46.285737+00:00,3.24
2025-10-13T14:57:47.349487+00:00,2.88
2025-10-13T14:57:48.407391+00:00,2.66
2025-10-13T14:57:49.463451+00:00,2.95
2025-10-13T14:57:50.530014+00:00,2.61
2025-10-13T14:57:51.573227+00:00,2.79
2025-10-13T14:57:52.625158+00:00,2.75
2025-10-13T14:57:53.689799+00:00,2.67
2025-10-13T14:57:54.755606+00:00,2.66
2025-10-13T14:57:55.818967+00:00,2.73
2025-10-13T14:57:56.875133+00:00,2.82
2025-10-13T14:57:57.939042+00:00,2.79
2025-10-13T14:57:58.987183+00:00,2.76
2025-10-13T14:58:00.051098+00:00,2.82
2025-10-13T14:58:01.124168+00:00,2.62
2025-10-13T14:58:02.174349+00:00,2.79
2025-10-13T14:58:03.239382+00:00,2.63
2025-10-13T14:58:04.289439+00:00,2.65
2025-10-13T14:58:05.340638+00:00,2.78
2025-10-13T14:58:06.415411+00:00,2.90
2025-10-13T14:58:07.456853+00:00,2.68
2025-10-13T14:58:08.524695+00:00,2.87
2025-10-13T14:58:09.579109+00:00,2.61
2025-10-13T14:58:10.630922+00:00,2.67
2025-10-13T14:58:11.680955+00:00,2.94
2025-10-13T14:58:12.729885+00:00,2.84
2025-10-13T14:58:13.772027+00:00,2.63
2025-10-13T14:58:14.838970+00:00,2.61
2025-10-13T14:58:15.897252+00:00,3.00
2025-10-13T14:58:16.962799+00:00,2.69
2025-10-13T14:58:18.010893+00:00,2.75
2025-10-13T14:58:19.076466+00:00,2.55
2025-10-13T14:58:20.141294+00:00,7.99
2025-10-13T14:58:21.193397+00:00,12.58
2025-10-13T14:58:22.275465+00:00,12.09
2025-10-13T14:58:23.321887+00:00,2.70
2025-10-13T14:58:24.397314+00:00,2.72
2025-10-13T14:58:25.471493+00:00,2.65
2025-10-13T14:58:26.575079+00:00,2.59
2025-10-13T14:58:27.620946+00:00,2.88
2025-10-13T14:58:28.678891+00:00,2.57
2025-10-13T14:58:29.745723+00:00,2.79
2025-10-13T14:58:30.825615+00:00,2.69
2025-10-13T14:58:31.882601+00:00,2.93
2025-10-13T14:58:32.921829+00:00,2.88
2025-10-13T14:58:33.971622+00:00,2.89
2025-10-13T14:58:35.027115+00:00,3.01
2025-10-13T14:58:36.070444+00:00,2.72
2025-10-13T14:58:37.127107+00:00,2.91
2025-10-13T14:58:38.193530+00:00,2.80
2025-10-13T14:58:39.243497+00:00,2.83
2025-10-13T14:58:40.309856+00:00,2.59
2025-10-13T14:58:41.362372+00:00,2.63
2025-10-13T14:58:42.453523+00:00,2.59
2025-10-13T14:58:43.503454+00:00,2.65
2025-10-13T14:58:44.569557+00:00,3.14
2025-10-13T14:58:45.630231+00:00,2.62
2025-10-13T14:58:46.693868+00:00,2.75
2025-10-13T14:58:47.761574+00:00,2.62
2025-10-13T14:58:48.828401+00:00,2.62
2025-10-13T14:58:49.902713+00:00,3.09
2025-10-13T14:58:50.960495+00:00,2.85
2025-10-13T14:58:52.039334+00:00,2.71
2025-10-13T14:58:53.090958+00:00,2.81
2025-10-13T14:58:54.140385+00:00,3.00
2025-10-13T14:58:55.191222+00:00,2.90
2025-10-13T14:58:56.250063+00:00,3.07
2025-10-13T14:58:57.299012+00:00,2.94
2025-10-13T14:58:58.350388+00:00,3.04
2025-10-13T14:58:59.401020+00:00,2.92
2025-10-13T14:59:00.451584+00:00,3.02
2025-10-13T14:59:01.501892+00:00,2.65
2025-10-13T14:59:02.567900+00:00,2.67
2025-10-13T14:59:03.619283+00:00,3.01
2025-10-13T14:59:04.673785+00:00,2.78
2025-10-13T14:59:05.717932+00:00,2.75
2025-10-13T14:59:06.787636+00:00,2.74
2025-10-13T14:59:07.842179+00:00,2.88
2025-10-13T14:59:08.907097+00:00,2.65
2025-10-13T14:59:09.987400+00:00,2.86
2025-10-13T14:59:11.038831+00:00,2.89
2025-10-13T14:59:12.092962+00:00,2.85
2025-10-13T14:59:13.158018+00:00,2.64
2025-10-13T14:59:14.216828+00:00,2.62
2025-10-13T14:59:15.272293+00:00,2.80
2025-10-13T14:59:16.333729+00:00,2.60
2025-10-13T14:59:17.396907+00:00,2.96
2025-10-13T14:59:18.458184+00:00,2.94
2025-10-13T14:59:19.517822+00:00,2.83
2025-10-13T14:59:20.569600+00:00,3.01
2025-10-13T14:59:21.637913+00:00,2.83
2025-10-13T14:59:22.723776+00:00,2.67
2025-10-13T14:59:23.790109+00:00,2.62
2025-10-13T14:59:24.851854+00:00,2.64
2025-10-13T14:59:25.898485+00:00,2.86
2025-10-13T14:59:26.955071+00:00,2.88
2025-10-13T14:59:28.004613+00:00,2.92
2025-10-13T14:59:29.054844+00:00,2.80
2025-10-13T14:59:30.106974+00:00,2.93
2025-10-13T14:59:31.153390+00:00,2.75
2025-10-13T14:59:32.209678+00:00,2.95
2025-10-13T14:59:33.257117+00:00,2.81
2025-10-13T14:59:34.321349+00:00,3.03
2025-10-13T14:59:35.371435+00:00,2.79
2025-10-13T14:59:36.421845+00:00,2.93
2025-10-13T14:59:37.466245+00:00,2.79
2025-10-13T14:59:38.519179+00:00,2.87
2025-10-13T14:59:39.572009+00:00,2.74
2025-10-13T14:59:40.635845+00:00,2.63
2025-10-13T14:59:41.686177+00:00,2.80
2025-10-13T14:59:42.739645+00:00,2.94
2025-10-13T14:59:43.801213+00:00,3.09
2025-10-13T14:59:44.858377+00:00,2.74
2025-10-13T14:59:45.901238+00:00,2.87
2025-10-13T14:59:46.960403+00:00,2.78
2025-10-13T14:59:48.019132+00:00,2.99
2025-10-13T14:59:49.069324+00:00,2.91
2025-10-13T14:59:50.119888+00:00,2.91
2025-10-13T14:59:51.165333+00:00,2.74
2025-10-13T14:59:52.226253+00:00,2.93
2025-10-13T14:59:53.285705+00:00,2.80
2025-10-13T14:59:54.339930+00:00,2.82
2025-10-13T14:59:55.386151+00:00,2.96
2025-10-13T14:59:56.436527+00:00,2.77
2025-10-13T14:59:57.478709+00:00,2.71
2025-10-13T14:59:58.549553+00:00,2.86
2025-10-13T14:59:59.602649+00:00,2.89
2025-10-13T15:00:00.664417+00:00,2.72
2025-10-13T15:00:01.726536+00:00,2.93
2025-10-13T15:00:02.784483+00:00,2.80
2025-10-13T15:00:03.836220+00:00,3.06
2025-10-13T15:00:04.886919+00:00,3.12
2025-10-13T15:00:05.948712+00:00,3.15
2025-10-13T15:00:07.001369+00:00,2.86
2025-10-13T15:00:08.050454+00:00,3.04
2025-10-13T15:00:09.101164+00:00,2.97
2025-10-13T15:00:10.159558+00:00,2.96
2025-10-13T15:00:11.206548+00:00,2.94
2025-10-13T15:00:12.265090+00:00,2.91
2025-10-13T15:00:13.331974+00:00,2.72
2025-10-13T15:00:14.386947+00:00,2.68
2025-10-13T15:00:15.444914+00:00,2.67
2025-10-13T15:00:16.501217+00:00,2.82
2025-10-13T15:00:17.568380+00:00,2.61
2025-10-13T15:00:18.629600+00:00,2.66
2025-10-13T15:00:19.679580+00:00,2.71
2025-10-13T15:00:20.736473+00:00,2.77
2025-10-13T15:00:21.793750+00:00,2.59
2025-10-13T15:00:22.845577+00:00,2.90
2025-10-13T15:00:23.893240+00:00,2.55
2025-10-13T15:00:24.950076+00:00,3.04
2025-10-13T15:00:26.016158+00:00,2.68
2025-10-13T15:00:27.083597+00:00,2.80
2025-10-13T15:00:28.147615+00:00,3.04
2025-10-13T15:00:29.197150+00:00,2.95
2025-10-13T15:00:30.254795+00:00,2.81
2025-10-13T15:00:31.310663+00:00,2.82
2025-10-13T15:00:32.360393+00:00,2.87
2025-10-13T15:00:33.416413+00:00,3.10
2025-10-13T15:00:34.475858+00:00,3.23
2025-10-13T15:00:35.534071+00:00,2.64
2025-10-13T15:00:36.598661+00:00,2.59
2025-10-13T15:00:37.666127+00:00,2.79
2025-10-13T15:00:38.722707+00:00,2.83
2025-10-13T15:00:39.777310+00:00,2.91
2025-10-13T15:00:40.836400+00:00,2.81
2025-10-13T15:00:41.899435+00:00,2.71
2025-10-13T15:00:42.949994+00:00,2.79
2025-10-13T15:00:43.997324+00:00,2.66
2025-10-13T15:00:45.048529+00:00,2.85
2025-10-13T15:00:46.097817+00:00,2.71
2025-10-13T15:00:47.145768+00:00,2.64
2025-10-13T15:00:48.208492+00:00,2.61
2025-10-13T15:00:49.267136+00:00,2.65
2025-10-13T15:00:50.317993+00:00,2.67
